STOP_FRISK_ID,Stop Frisk Time,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_BORO_NAME
29,12:50:00,2018,January,Tuesday,Based on C/W on Scene,POM,13,LT,13,2,GRAND LARCENY,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,COOPERATIVE,15,MALE,BLACK,null,180,MED,BLK,BLK,13,239 1 AVENUE,MANHATTAN
30,1:30:00,2018,January,Tuesday,Based on Self Initiated,POM,14,SGT,14,0,GRAND LARCENY AUTO,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CALM,37,MALE,WHITE,5.9,150,THN,BRO,BLK,14,307 5 AVENUE,MANHATTAN
31,20:48:00,2018,January,Tuesday,Based on Radio Run,POM,32,SGT,32,1,ASSAULT,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,COOPERATIVE,55,MALE,BLACK,5.11,175,MED,BRO,XXX,32,LENOX AVENUE && WEST 136 STREET,MANHATTAN
32,19:20:00,2018,January,Tuesday,Based on Radio Run,POM,807,SGT,807,1,OTHER,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,COMPLIANT,38,MALE,WHITE,5.9,175,MED,BRO,XXX,40,340 ALEXANDER AVENUE,BRONX
33,22:30:00,2018,January,Tuesday,Based on Self Initiated,POM,807,SGT,807,1,CRIMINAL TRESPASS,5,1,0,1,CRIMINAL TRESPASS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,CALM,43,MALE,BLACK,5.5,130,THN,BRO,BLK,40,383 EAST 141 STREET,BRONX
34,15:14:00,2018,January,Tuesday,Based on Self Initiated,POM,49,SGT,49,1,CPW,5,1,0,1,CPW,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,CALM,34,MALE,WHITE,5.8,145,THN,HAZ,BLN,49,2142 WHITE PLAINS ROAD,BRONX
35,21:22:00,2018,January,Tuesday,Based on C/W on Scene,POM,63,LT,63,1,PETIT LARCENY,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,CALM,23,MALE,BLACK,5.1,220,HEA,BRO,BLK,63,1860 FLATBUSH AVENUE,BROOKLYN
36,21:22:00,2018,January,Tuesday,Based on C/W on Scene,POM,63,LT,63,1,PETIT LARCENY,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,CALM,36,MALE,BLACK,5.8,160,THN,BRO,BLK,63,1860 FLATBUSH AVENUE,BROOKLYN
37,14:45:00,2018,January,Tuesday,Based on Radio Run,POM,69,SGT,69,1,PETIT LARCENY,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CALM,17,MALE,BLACK,6.5,175,THN,BRO,BLK,69,EAST 95 STREET && AVENUE N,BROOKLYN
38,23:15:00,2018,January,Tuesday,Based on Self Initiated,POM,802,SGT,802,1,CRIMINAL POSSESSION OF MARIHUANA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,CALM,25,MALE,BLACK,null,190,THN,BRO,BLK,73,360 LIVONIA AVENUE,BROOKLYN
